Jahr;BFS_Nummer;Gemeinde;Indikator;Wert
2020;2785;Duggingen;Lastenabgeltung_Bildung_Weite_CHF;59352.0
2020;2785;Duggingen;Lastenabgeltung_Sozialhilfe_CHF;0.0
2020;2785;Duggingen;Lastenabgeltung_Nicht-Siedlungsfläche_CHF;17500.0
2020;2785;Duggingen;Lastenabgeltung_Total_CHF;76852.0
2020;2785;Duggingen;Finanzierung_Ausgleichsfonds_CHF;0.0
2020;2785;Duggingen;Solidaritätsbeitrag_Auszahlung_CHF;0.0
2020;2785;Duggingen;Solidaritätsbeitrag_Finanzierung_CHF;15520.0
2020;2785;Duggingen;Kompensation_vergangene_Aufgabenverschiebung_CHF;40412.0
2020;2785;Duggingen;Kompensationsleistung_Sechste_Primar_CHF;205248.0
2020;2785;Duggingen;Kompensationsleistung_Ergänzungsleistungen_CHF;74535.0
2020;2785;Duggingen;Gemeindeanteil_Ergänzungsleistungen_CHF;252479.0
2020;2785;Duggingen;Gemeindeanteil_Spitalbeschulung_CHF;679.0
2020;2785;Duggingen;Gemeindeanteil_Schulleiterkonferenz_CHF;74.0
2020;2785;Duggingen;Nettobelastung_CHF;0.0
2020;2785;Duggingen;Nettogutschrift_CHF;431453.0
2020;2785;Duggingen;Mittlere_Wohnbevölkerung_Vorjahr;1552.0
2020;2785;Duggingen;Steuerertrag_Natürliche_Personen_Vorjahr_CHF;3313756.25
2020;2785;Duggingen;Steuerertrag_Juristische_Personen_Ertrag_Vorjahr_CHF;377614.8
2020;2785;Duggingen;Steuerertrag_Juristische_Personen_Kapital_Vorjahr_CHF;96258.5
2020;2785;Duggingen;Steuerkraft_Total_CHF;3714503.0563892
2020;2785;Duggingen;Steuerkraft_pro_Einwohner_CHF;2393.3653713848
2020;2785;Duggingen;Ressourcenausgleich_Empfängergemeinden_vor_Kürzung_CHF;398297.0
2020;2785;Duggingen;Kürzung_infolge_maximaler_Abschöpfungssatz_CHF;14315.0
2020;2786;Grellingen;Ressourcenausgleich_Gebergemeinden_CHF;0.0
2020;2786;Grellingen;Ressourcenausgleich_Empfängergemeinden_CHF;1733637.0
2020;2786;Grellingen;Lastenabgeltung_Bildung_Schülerzahl_CHF;0.0
2020;2786;Grellingen;Lastenabgeltung_Bildung_Weite_CHF;35149.0
2020;2786;Grellingen;Lastenabgeltung_Sozialhilfe_CHF;68637.0
2020;2786;Grellingen;Lastenabgeltung_Nicht-Siedlungsfläche_CHF;0.0
2020;2786;Grellingen;Lastenabgeltung_Total_CHF;103786.0
2020;2786;Grellingen;Finanzierung_Ausgleichsfonds_CHF;0.0
2020;2786;Grellingen;Solidaritätsbeitrag_Auszahlung_CHF;61813.0
2020;2786;Grellingen;Solidaritätsbeitrag_Finanzierung_CHF;18690.0
2020;2786;Grellingen;Kompensation_vergangene_Aufgabenverschiebung_CHF;48666.0
2020;2786;Grellingen;Kompensationsleistung_Sechste_Primar_CHF;156581.0
2020;2786;Grellingen;Kompensationsleistung_Ergänzungsleistungen_CHF;93222.0
2020;2786;Grellingen;Gemeindeanteil_Ergänzungsleistungen_CHF;304049.0
2020;2786;Grellingen;Gemeindeanteil_Spitalbeschulung_CHF;817.0
2020;2786;Grellingen;Gemeindeanteil_Schulleiterkonferenz_CHF;89.0
2020;2786;Grellingen;Nettobelastung_CHF;0.0
2020;2786;Grellingen;Nettogutschrift_CHF;1758633.0
2020;2786;Grellingen;Mittlere_Wohnbevölkerung_Vorjahr;1869.0
2020;2786;Grellingen;Steuerertrag_Natürliche_Personen_Vorjahr_CHF;3610634.4
2020;2786;Grellingen;Steuerertrag_Juristische_Personen_Ertrag_Vorjahr_CHF;110332.55
2020;2786;Grellingen;Steuerertrag_Juristische_Personen_Kapital_Vorjahr_CHF;152447.6
2020;2786;Grellingen;Steuerkraft_Total_CHF;3201973.87085209
2020;2786;Grellingen;Steuerkraft_pro_Einwohner_CHF;1713.20164304553
2020;2786;Grellingen;Ressourcenausgleich_Empfängergemeinden_vor_Kürzung_CHF;1750876.0
2020;2786;Grellingen;Kürzung_infolge_maximaler_Abschöpfungssatz_CHF;17239.0
2020;2787;Laufen;Ressourcenausgleich_Gebergemeinden_CHF;0.0
2020;2787;Laufen;Ressourcenausgleich_Empfängergemeinden_CHF;1090712.0
2020;2787;Laufen;Lastenabgeltung_Bildung_Schülerzahl_CHF;416298.0
2020;2787;Laufen;Lastenabgeltung_Bildung_Weite_CHF;0.0
2020;2787;Laufen;Lastenabgeltung_Sozialhilfe_CHF;392075.0
2020;2787;Laufen;Lastenabgeltung_Nicht-Siedlungsfläche_CHF;0.0
2020;2787;Laufen;Lastenabgeltung_Total_CHF;808373.0
2020;2787;Laufen;Finanzierung_Ausgleichsfonds_CHF;0.0
2020;2787;Laufen;Solidaritätsbeitrag_Auszahlung_CHF;244731.0
2020;2787;Laufen;Solidaritätsbeitrag_Finanzierung_CHF;56820.0
2020;2787;Laufen;Kompensation_vergangene_Aufgabenverschiebung_CHF;147950.0
2020;2787;Laufen;Kompensationsleistung_Sechste_Primar_CHF;744817.0
2020;2787;Laufen;Kompensationsleistung_Ergänzungsleistungen_CHF;368189.0
2020;2787;Laufen;Gemeindeanteil_Ergänzungsleistungen_CHF;924348.0
2020;2787;Laufen;Gemeindeanteil_Spitalbeschulung_CHF;2484.0
2020;2787;Laufen;Gemeindeanteil_Schulleiterkonferenz_CHF;269.0
2020;2787;Laufen;Nettobelastung_CHF;0.0
2020;2787;Laufen;Nettogutschrift_CHF;2146202.0
2020;2787;Laufen;Mittlere_Wohnbevölkerung_Vorjahr;5682.0
2020;2787;Laufen;Steuerertrag_Natürliche_Personen_Vorjahr_CHF;10953854.7
2020;2787;Laufen;Steuerertrag_Juristische_Personen_Ertrag_Vorjahr_CHF;2177710.7
2020;2787;Laufen;Steuerertrag_Juristische_Personen_Kapital_Vorjahr_CHF;1551041.5
2020;2787;Laufen;Steuerkraft_Total_CHF;13914180.2482436
2020;2787;Laufen;Steuerkraft_pro_Einwohner_CHF;2448.8173615353
2020;2787;Laufen;Ressourcenausgleich_Empfängergemeinden_vor_Kürzung_CHF;1143120.0
2020;2787;Laufen;Kürzung_infolge_maximaler_Abschöpfungssatz_CHF;52408.0
2020;2788;Liesberg;Ressourcenausgleich_Gebergemeinden_CHF;0.0
2020;2788;Liesberg;Ressourcenausgleich_Empfängergemeinden_CHF;662433.0
2020;2788;Liesberg;Lastenabgeltung_Bildung_Schülerzahl_CHF;0.0
2020;2788;Liesberg;Lastenabgeltung_Bildung_Weite_CHF;243109.0
2020;2788;Liesberg;Lastenabgeltung_Sozialhilfe_CHF;0.0
2020;2788;Liesberg;Lastenabgeltung_Nicht-Siedlungsfläche_CHF;94092.0
2020;2788;Liesberg;Lastenabgeltung_Total_CHF;337201.0
2020;2788;Liesberg;Finanzierung_Ausgleichsfonds_CHF;0.0
2020;2788;Liesberg;Solidaritätsbeitrag_Auszahlung_CHF;0.0
2020;2788;Liesberg;Solidaritätsbeitrag_Finanzierung_CHF;11260.0
2020;2788;Liesberg;Kompensation_vergangene_Aufgabenverschiebung_CHF;29319.0
2020;2788;Liesberg;Kompensationsleistung_Sechste_Primar_CHF;120609.0
2020;2788;Liesberg;Kompensationsleistung_Ergänzungsleistungen_CHF;64689.0
2020;2788;Liesberg;Gemeindeanteil_Ergänzungsleistungen_CHF;183178.0
2020;2788;Liesberg;Gemeindeanteil_Spitalbeschulung_CHF;492.0
2020;2788;Liesberg;Gemeindeanteil_Schulleiterkonferenz_CHF;53.0
2020;2788;Liesberg;Nettobelastung_CHF;0.0
2020;2788;Liesberg;Nettogutschrift_CHF;960630.0
2020;2788;Liesberg;Mittlere_Wohnbevölkerung_Vorjahr;1126.0
2020;2788;Liesberg;Steuerertrag_Natürliche_Personen_Vorjahr_CHF;2042214.1
2020;2788;Liesberg;Steuerertrag_Juristische_Personen_Ertrag_Vorjahr_CHF;18303.05
2020;2788;Liesberg;Steuerertrag_Juristische_Personen_Kapital_Vorjahr_CHF;476549.0
2020;2788;Liesberg;Steuerkraft_Total_CHF;2311080.94159953
2020;2788;Liesberg;Steuerkraft_pro_Einwohner_CHF;2052.46975275269
2020;2788;Liesberg;Ressourcenausgleich_Empfängergemeinden_vor_Kürzung_CHF;672819.0
2020;2788;Liesberg;Kürzung_infolge_maximaler_Abschöpfungssatz_CHF;10386.0
2020;2789;Nenzlingen;Ressourcenausgleich_Gebergemeinden_CHF;0.0
2020;2789;Nenzlingen;Ressourcenausgleich_Empfängergemeinden_CHF;109651.0
2020;2789;Nenzlingen;Lastenabgeltung_Bildung_Schülerzahl_CHF;0.0
2020;2789;Nenzlingen;Lastenabgeltung_Bildung_Weite_CHF;41151.0
2020;2789;Nenzlingen;Lastenabgeltung_Sozialhilfe_CHF;0.0
2020;2789;Nenzlingen;Lastenabgeltung_Nicht-Siedlungsfläche_CHF;32520.0
2020;2789;Nenzlingen;Lastenabgeltung_Total_CHF;73671.0
2020;2789;Nenzlingen;Finanzierung_Ausgleichsfonds_CHF;0.0
2020;2789;Nenzlingen;Solidaritätsbeitrag_Auszahlung_CHF;0.0
2020;2789;Nenzlingen;Solidaritätsbeitrag_Finanzierung_CHF;4500.0
2020;2789;Nenzlingen;Kompensation_vergangene_Aufgabenverschiebung_CHF;11717.0
2020;2789;Nenzlingen;Kompensationsleistung_Sechste_Primar_CHF;38087.0
2020;2789;Nenzlingen;Kompensationsleistung_Ergänzungsleistungen_CHF;20211.0
2020;2789;Nenzlingen;Gemeindeanteil_Ergänzungsleistungen_CHF;73206.0
2020;2789;Nenzlingen;Gemeindeanteil_Spitalbeschulung_CHF;197.0
2020;2789;Nenzlingen;Gemeindeanteil_Schulleiterkonferenz_CHF;21.0
2020;2789;Nenzlingen;Nettobelastung_CHF;0.0
2020;2789;Nenzlingen;Nettogutschrift_CHF;151979.0
2020;2789;Nenzlingen;Mittlere_Wohnbevölkerung_Vorjahr;450.0
2020;2789;Nenzlingen;Steuerertrag_Natürliche_Personen_Vorjahr_CHF;1235526.3
2020;2789;Nenzlingen;Steuerertrag_Juristische_Personen_Ertrag_Vorjahr_CHF;5537.85
2020;2789;Nenzlingen;Steuerertrag_Juristische_Personen_Kapital_Vorjahr_CHF;7086.35
2020;2789;Nenzlingen;Steuerkraft_Total_CHF;1078698.45828114
2020;2789;Nenzlingen;Steuerkraft_pro_Einwohner_CHF;2397.1076850692
2020;2789;Nenzlingen;Ressourcenausgleich_Empfängergemeinden_vor_Kürzung_CHF;113802.0
2020;2789;Nenzlingen;Kürzung_infolge_maximaler_Abschöpfungssatz_CHF;4151.0
2020;2790;Roggenburg;Ressourcenausgleich_Gebergemeinden_CHF;0.0
2020;2790;Roggenburg;Ressourcenausgleich_Empfängergemeinden_CHF;395330.0
2020;2790;Roggenburg;Lastenabgeltung_Bildung_Schülerzahl_CHF;0.0
2020;2790;Roggenburg;Lastenabgeltung_Bildung_Weite_CHF;159955.0
2020;2790;Roggenburg;Lastenabgeltung_Sozialhilfe_CHF;0.0
2020;2790;Roggenburg;Lastenabgeltung_Nicht-Siedlungsfläche_CHF;79973.0
2020;2790;Roggenburg;Lastenabgeltung_Total_CHF;239928.0
2020;2790;Roggenburg;Finanzierung_Ausgleichsfonds_CHF;0.0
2020;2790;Roggenburg;Solidaritätsbeitrag_Auszahlung_CHF;0.0
2020;2790;Roggenburg;Solidaritätsbeitrag_Finanzierung_CHF;2800.0
2020;2790;Roggenburg;Kompensation_vergangene_Aufgabenverschiebung_CHF;7291.0
2020;2790;Roggenburg;Kompensationsleistung_Sechste_Primar_CHF;23276.0
2020;2790;Roggenburg;Kompensationsleistung_Ergänzungsleistungen_CHF;12449.0
2020;2790;Roggenburg;Gemeindeanteil_Ergänzungsleistungen_CHF;45550.0
2020;2790;Roggenburg;Gemeindeanteil_Spitalbeschulung_CHF;122.0
2020;2790;Roggenburg;Gemeindeanteil_Schulleiterkonferenz_CHF;13.0
2020;2790;Roggenburg;Nettobelastung_CHF;0.0
2020;2790;Roggenburg;Nettogutschrift_CHF;615207.0
2020;2790;Roggenburg;Mittlere_Wohnbevölkerung_Vorjahr;280.0
2020;2790;Roggenburg;Steuerertrag_Natürliche_Personen_Vorjahr_CHF;402739.3
2020;2790;Roggenburg;Steuerertrag_Juristische_Personen_Ertrag_Vorjahr_CHF;119.85
2020;2790;Roggenburg;Steuerertrag_Juristische_Personen_Kapital_Vorjahr_CHF;1224.45
2020;2790;Roggenburg;Steuerkraft_Total_CHF;344086.745264252
2020;2790;Roggenburg;Steuerkraft_pro_Einwohner_CHF;1228.88123308661
2020;2790;Roggenburg;Ressourcenausgleich_Empfängergemeinden_vor_Kürzung_CHF;397913.0
2020;2790;Roggenburg;Kürzung_infolge_maximaler_Abschöpfungssatz_CHF;2583.0
2020;2791;Röschenz;Ressourcenausgleich_Gebergemeinden_CHF;0.0
2020;2791;Röschenz;Ressourcenausgleich_Empfängergemeinden_CHF;1128899.0
2020;2791;Röschenz;Lastenabgeltung_Bildung_Schülerzahl_CHF;25866.0
2020;2791;Röschenz;Lastenabgeltung_Bildung_Weite_CHF;114969.0
2020;2791;Röschenz;Lastenabgeltung_Sozialhilfe_CHF;0.0
2020;2791;Röschenz;Lastenabgeltung_Nicht-Siedlungsfläche_CHF;89712.0
2020;2791;Röschenz;Lastenabgeltung_Total_CHF;230547.0
2020;2791;Röschenz;Finanzierung_Ausgleichsfonds_CHF;0.0
2020;2791;Röschenz;Solidaritätsbeitrag_Auszahlung_CHF;0.0
2020;2791;Röschenz;Solidaritätsbeitrag_Finanzierung_CHF;18830.0
2020;2791;Röschenz;Kompensation_vergangene_Aufgabenverschiebung_CHF;49030.0
2020;2791;Röschenz;Kompensationsleistung_Sechste_Primar_CHF;279306.0
2020;2791;Röschenz;Kompensationsleistung_Ergänzungsleistungen_CHF;69475.0
2020;2791;Röschenz;Gemeindeanteil_Ergänzungsleistungen_CHF;306326.0
2020;2791;Röschenz;Gemeindeanteil_Spitalbeschulung_CHF;823.0
2020;2791;Röschenz;Gemeindeanteil_Schulleiterkonferenz_CHF;89.0
2020;2791;Röschenz;Nettobelastung_CHF;0.0
2020;2791;Röschenz;Nettogutschrift_CHF;1333129.0
2020;2791;Röschenz;Mittlere_Wohnbevölkerung_Vorjahr;1883.0
2020;2791;Röschenz;Steuerertrag_Natürliche_Personen_Vorjahr_CHF;3748579.9
2020;2791;Röschenz;Steuerertrag_Juristische_Personen_Ertrag_Vorjahr_CHF;25948.2
